"SCHOOL_YEAR","DATA_LEVEL","PUBLIC_OR_INDEPENDENT","DISTRICT_NUMBER","DISTRICT_NAME","MINCODE","SCHOOL_NAME","NUM_OF_SCHOOLS_IN_DATA_LEVEL","TOTAL_CLASSES","CLASSES_WITH_ED_ASSIST","TOTAL_CLASSES_GREATER_30","AVG_CLASS_SIZE_K","AVG_CLASS_SIZE_1_3","AVG_CLASS_SIZE_4_7","AVG_CLASS_SIZE_8_12"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242043","Hammond Elementary","1","18","18","","    19.7","    21.5","    26.4",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242043","Hammond Elementary","1","19","19","","    19.0","    19.6","    21.2",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242043","Hammond Elementary","1","19","19","","    18.3","    19.8","    22.9",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","193","23","4","","","","    24.9"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","174","29","6","","","","    24.8"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","237","33","28","","","","    26.2"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","283","8","22","","","","    22.2"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","264","12","35","","","","    25.0"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","210","30","47","","","","    26.6"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","244","66","5","","","","    24.4"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","275","49","2","","","","    23.3"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","258","41","13","","","","    23.3"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","224","50","11","","","","    25.7"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","247","49","9","","","","    26.6"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","282","60","","","","","    23.4"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242045","Samuel Robertson Technical Secondary","1","282","56","","","","","    23.9"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    22.0","    22.0","    22.0","    22.0"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    20.9","    21.1","    21.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    21.7","    21.8","    21.7",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    22.0","    22.0","    22.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    22.0","    22.0","    22.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    21.4","    21.5","    21.5",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242046","Environmental School Project","1","4","4","","    21.4","    21.2","    21.3",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242047","Odyssey K-9 SD 42","1","2","2","","    12.0","    12.0","    13.2","    14.0"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","20","17","","    19.3","    21.1","    27.2",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","21","20","","    18.7","    21.9","    25.9",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","23","20","","    17.0","    20.4","    26.9",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","23","23","","    22.0","    21.7","    27.2",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","25","21","","    16.3","    21.8","    26.8",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","24","","    18.3","    22.1","    27.5",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","24","","    19.9","    21.6","    26.3",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","24","","    19.7","    22.5","    26.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","20","","    18.9","    20.5","    27.8",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","22","","    17.7","    22.7","    27.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","24","22","","    20.4","    21.9","    26.6",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","26","26","","    18.8","    21.2","    24.3",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","042","Maple Ridge-Pitt Meadows","04242052","Yennadon Elementary","1","26","26","","    18.5","    21.4","    25.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","6","","    14.0","    23.2","    24.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","4","","    13.0","    22.3","    29.3",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","3","","    17.0","    21.3","    28.5",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","3","","    16.3","    21.1","    28.3",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","3","","    20.0","    20.8","    27.1",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","4","","    19.0","    21.6","    26.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","8","5","","    21.0","    20.2","    24.9",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","7","3","","    15.0","    22.7","    27.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","7","1","","    17.6","    22.1","    27.5",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","6","","","    22.0","    21.7","    28.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","6","1","","    22.0","    23.0","    27.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","7","2","","    16.0","    18.4","    21.8",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343002","Anmore Elementary","1","6","3","","    17.0","    20.0","    22.6",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","8","3","","    12.0","    21.3","    27.5",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","10","3","","    15.0","    20.8","    23.3",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","11","2","","    16.0","    20.8","    23.7",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","10","2","","    16.5","    20.6","    27.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","10","","","    20.0","    22.8","    29.3",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","10","10","","    20.0","    20.7","    27.1",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","10","3","","    19.2","    20.6","    24.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","9","2","","    20.3","    21.6","    26.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","8","2","","    21.4","    23.5","    28.5",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","9","2","","    18.5","    21.9","    27.4",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","8","4","","    20.5","    22.5","    28.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","8","8","","    17.5","    19.1","    22.8",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343004","Alderson Elementary","1","7","5","","    20.0","    22.0","    26.8",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","7","5","","    20.0","    20.3","    24.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","7","6","","    17.0","    20.8","    23.5",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","7","","","    17.4","    20.4","    23.0",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","8","1","","    14.0","    18.5","    27.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","9","3","","    18.3","    20.3","    23.7",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","9","3","","    19.0","    20.2","    27.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","10","10","","    17.4","    17.5","    24.5",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","18","4","","    17.0","    22.1","    26.1",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","18","4","","    20.4","    21.7","    26.6",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","10","6","","    20.8","    22.0","    24.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","10","8","","    20.3","    22.0","    27.8",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","11","8","","    18.2","    19.3","    22.7",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343005","Baker Drive Elementary","1","10","10","","    17.8","    20.4","    21.4",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","10","5","","    18.5","    19.8","    26.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","9","","","    16.0","    19.3","    26.2",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","9","4","","    21.0","    20.7","    20.8",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","8","4","","    14.9","    21.7","    23.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","7","1","","    20.0","    22.5","    28.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","8","1","","    19.0","    19.0","    23.5",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","8","3","","    19.6","    19.7","    24.9",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","10","3","","    22.0","    18.7","    27.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","7","1","","    22.0","    23.1","    28.5",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","8","3","","    21.0","    19.8","    29.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","9","8","","    19.6","    20.3","    29.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","9","6","","    19.7","    21.5","    24.6",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343006","Birchland Elementary","1","8","5","","    18.6","    20.1","    25.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","17","2","","    20.0","    20.7","    26.8",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","17","2","","    17.3","    21.5","    26.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","17","2","","    17.3","    21.5","    25.9",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","18","2","","    16.3","    21.8","    27.2",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","16","4","","    16.0","    21.8","    29.2",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","14","4","","    16.5","    22.9","    29.4",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","14","6","","    19.5","    22.0","    27.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","14","8","","    19.0","    20.9","    27.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","13","5","","    22.0","    23.6","    28.1",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","13","6","","    21.0","    22.3","    29.3",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","14","8","","    19.0","    20.4","    28.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","15","8","","    17.6","    19.3","    23.2",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343009","Bramblewood Elementary","1","13","9","","    15.6","    20.5","    25.3",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","8","3","","    21.0","    21.9","    26.8",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","11","6","","    14.3","    20.4","    23.3",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","11","6","","    14.3","    20.4","    24.9",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","10","6","","    17.1","    22.3","    23.7",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","9","4","","    19.0","    20.2","    28.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","9","6","","    18.5","    18.9","    21.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","9","8","","    17.0","    20.8","    22.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","9","7","","    18.5","    21.3","    26.2",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","9","6","","    21.5","    22.4","    30.0",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","10","8","","    19.5","    24.0","    28.6",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","10","8","","    21.0","    22.1","    25.8",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","11","7","","    19.9","    21.8","    26.4",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343010","Cape Horn Elementary","1","10","8","","    20.0","    22.0","    27.6",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","10","9","","    20.4","    19.8","    24.3",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","13","13","","    21.5","    21.3","    24.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","","","    20.2","    21.0","    24.6",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","5","","    16.5","    19.8","    24.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","5","","    18.0","    18.2","    26.3",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","10","5","","    17.0","    20.9","    24.9",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","3","","    16.3","    21.0","    24.7",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","5","","    19.6","    20.2","    29.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","6","","    21.2","    23.2","    25.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","4","","    20.5","    22.5","    29.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","11","7","","    21.0","    23.5","    29.0",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","13","8","","    19.2","    21.3","    25.8",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343011","Cedar Drive Elementary","1","13","4","","    17.3","    19.6","    26.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","4","","    18.0","    20.2","    24.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","5","","    15.5","    21.3","    23.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","4","","    14.7","    22.0","    27.5",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","13","5","","    17.0","    19.6","    25.6",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","6","","    19.5","    17.4","    24.9",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","7","","    18.0","    18.4","    28.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","5","","    21.0","    21.3","    21.1",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","7","","    19.0","    20.3","    23.1",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","12","5","","    22.0","    22.8","    24.5",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","13","8","","    20.7","    22.2","    27.0",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","13","9","","    19.5","    23.2","    24.5",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","15","12","","    19.0","    20.8","    22.8",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343012","Central Elementary","1","15","13","","    18.6","    19.4","    21.7",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","9","","    19.2","    22.1","    25.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","5","","    20.1","    21.7","    28.3",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","3","","    19.0","    21.7","    26.0",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","4","","    18.0","    21.4","    26.9",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","9","","    18.5","    21.8","    27.5",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","4","","    18.0","    20.2","    27.1",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","10","6","","    18.0","    22.6","    28.7",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","9","8","","    20.3","    21.0","    28.3",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","9","7","","    22.0","    23.7","    27.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","10","7","","    20.6","    21.6","    27.9",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","11","6","","    19.7","    22.2","    26.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","14","7","","    19.7","    19.6","    22.6",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343013","Coquitlam River Elementary","1","14","7","","    19.6","    20.6","    25.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343014","College Park Elementary","1","6","","","    20.0","    18.3","    25.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343015","Coronation Park Elementary","1","5","","","    20.0","    21.8","    24.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","9","","    19.3","    20.1","    28.5",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","3","","    21.1","    21.4","    29.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","2","","    19.5","    20.6","    27.6",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","4","","    22.0","    21.3","    26.4",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","14","","","    19.0","    22.0","    28.1",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","5","","    17.3","    21.9","    27.4",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","14","5","","    19.7","    21.7","    29.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","7","","    19.3","    22.0","    28.5",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","043","Coquitlam","04343017","Heritage Mountain Elementary","1","15","","","    21.7","    22.4","    28.5",""
