District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
042,04242005,Albion Elementary,10031 240th St,Maple Ridge                   ,BC             ,V2W 1G2,Mrs,Tanya,Dailey,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-4848,604 463-4689,tanya_dailey@sd42.ca                                                                                ,580,September 30 2018,0,75,0,0,0,63,56,75,62,71,90,88,0,0,0,0,0
035,03596573,Aldergrove Christian Academy,26245 28th Ave,Aldergrove                    ,BC             ,V4W 2W3,Mr,David,Strauss,Standard School                         ,K-10,Independent School,3,no,no,no,no,no,no,no,604 856-2577,604 857-0088,academy@rosbc.com                                                                                   ,29,September 30 2018,0,1,13,0,0,5,3,6,3,2,4,4,0,0,1,0,0
035,03535020,Aldergrove Community Secondary,26850 29 Ave,Aldergrove                    ,BC             ,V4W 3C1,Mr,Jeremy,Lyndon,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 856-2521,604 856-9648,jlyndon@sd35.bc.ca                                                                                  ,614,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,115,151,190,158
043,04343004,Alderson Elementary,825 Gauthier Ave,Coquitlam                     ,BC             ,V3K 7C4,Ms,Anita,Strang,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 939-8301,604 939-6571,astrang@sd43.bc.ca                                                                                  ,162,September 30 2018,0,25,1,0,0,27,22,30,23,35,0,0,0,0,0,0,0
085,08585008,Alert Bay Elementary,PO Box 29,Alert Bay                     ,BC             ,V0N 1A0,Ms,Jen,Turner,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 974-5569,250 974-5925,jturner@sd85.bc.ca                                                                                  ,53,September 30 2018,0,1,0,0,0,4,5,7,3,9,10,14,0,0,0,0,0
079,07965025,Alex Aitken,2494 Roome Rd,Duncan                        ,BC             ,V9L 4L2,Mr,Fergus,Horsburgh,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 748-8724,250 748-2954,fhorsburgh@sd79.bc.ca                                                                               ,246,September 30 2018,0,27,0,0,0,30,33,29,33,30,31,33,0,0,0,0,0
035,03535047,Alex Hope Elementary,21150 85 Ave,Langley                       ,BC             ,V1M 2M4,Mr,Nathan,Erker,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 888-7109,604 888-7102,nerker@sd35.bc.ca                                                                                   ,587,September 30 2018,0,51,0,0,0,52,69,66,68,81,99,101,0,0,0,0,0
039,03996870,Alexander Academy,688 Hastings St W Suite 200,Vancouver                     ,BC             ,V6B 1P1,Mr,Spencer,Todd,Standard School                         ,8-12,Independent School,4,no,no,no,no,no,no,no,604 687-8832,604 687-8872,s.todd@alexanderacademy.ca,106,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,8,8,15,28,47
034,03434021,Alexander Elementary,2250 Lobban Rd,Abbotsford                    ,BC             ,V2S 3W1,Ms,Brittney,Wallace,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 859-3167,604 850-5678,brittney.wallace@abbyschools.ca,216,September 30 2018,0,28,0,0,0,43,45,30,39,31,0,0,0,0,0,0,0
079,07965014,Alexander Elementary,2471 Beverly St,Duncan                        ,BC             ,V9L 3A3,Ms,Dani,Morrow,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 748-8148,250 748-3216,dmorrow@sd79.bc.ca                                                                                  ,269,September 30 2018,0,32,0,0,0,34,26,34,27,35,36,45,0,0,0,0,0
006,00618008,Alexander Park Elementary,PO Box 464,Golden                        ,BC             ,V0A 1H0,Mr,Bob,Wilson,Standard School                         ,K-3,Public School,,no,no,no,no,no,no,no,250 344-5513,250 342-6966,bob.wilson@sd6.bc.ca                                                                                ,227,September 30 2018,0,51,0,0,0,57,58,61,0,0,0,0,0,0,0,0,0
006,00625029,Alexander Park StrongStart Centre,PO Box 464,Golden                        ,BC             ,V0A 1H0,Mr,Bob,Wilson,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 344-5513,250 342-6966,bob.wilson@sd6.bc.ca                                                                                ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042,04242042,Alexander Robinson Elementary,11849 238B St,Maple Ridge                   ,BC             ,V4R 2T8,Mr,Adam,Stanley,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-3035,604 463-0667,adam_stanley@sd42.ca                                                                                ,551,September 30 2018,0,74,0,0,0,64,60,67,77,65,73,71,0,0,0,0,0
034,03425019,Alexander StrongStart Centre,2250 Lobban Rd,Abbotsford                    ,BC             ,V2S 3W1,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 859-3107,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079,07925074,Alexander StrongStart Centre,2471 Beverly St,Duncan                        ,BC             ,V9L 3A3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 748-3936,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,02727071,Alexis Creek Elementary/Secondary,PO Box 199,Alexis Creek                  ,BC             ,V0L 1A0,Ms,Caitlin,Currie,Standard School                         ,K-10,Public School,,yes,yes,no,no,no,no,no,250 394-4346,250 394-4490,caitlin.currie@sd27.bc.ca                                                                           ,30,September 30 2018,0,2,0,0,0,0,2,1,5,1,2,3,3,8,3,0,0
022,02225279,Alexis Park AM StrongStart Centre,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022,02222020,Alexis Park Elementary,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Standard School                         ,K-7,Public School,,yes,yes,no,no,no,yes,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,319,September 30 2018,0,76,0,0,0,40,30,44,31,37,30,31,0,0,0,0,0
022,02225018,Alexis Park PM StrongStart Centre,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
038,03838020,Alfred B Dixon Elementary,9331 Diamond Rd,Richmond                      ,BC             ,V7E 1P5,Mr,Sean,Harrington,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 668-6608,604 668-6574,dixon@sd38.bc.ca                                                                                    ,314,September 30 2018,0,31,0,0,0,40,32,42,35,37,53,44,0,0,0,0,0
035,03535038,Alice Brown Elementary,20011 44 Ave,Langley                       ,BC             ,V3A 6L8,Mr,Michael,Carlyle,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 534-0744,604 534-8854,mcarlyle@sd35.bc.ca                                                                                 ,254,September 30 2018,0,31,0,0,0,38,42,23,40,29,28,23,0,0,0,0,0
042,04242035,Alouette Elementary,22155 Isaac Cres,Maple Ridge                   ,BC             ,V2X 0V9,Mr,Kevin,Bodman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-8730,604 463-3281,kevin_bodman@sd42.ca                                                                                ,473,September 30 2018,0,50,0,0,0,58,42,55,70,57,68,73,0,0,0,0,0
041,04141005,Alpha Secondary,4600 Parker St,Burnaby                       ,BC             ,V5C 3E2,Mr,Tim,Wozney,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,604 296-6865,604 296-6868,tim.wozney@burnabyschools.ca,1095,September 30 2018,0,0,2,21,0,0,0,0,0,0,0,0,198,202,186,236,252
057,05799140,Alternate Community Programs,3400 Westwood Dr,Prince George                 ,BC             ,V2N 1S1,Mr,Curtis,Macdonald,Alternate Programs                      ,7-12,Public School,,no,no,no,no,no,no,no,250 564-6574,250 563-5487,cmacdonald@sd57.bc.ca                                                                               ,202,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,1,5,12,30,44,110
022,02299152,Alternative Learning Program,1401 15 St,Vernon                        ,BC             ,V1T 8S8,Ms,Rana,Grace,Alternate Programs                      ,"8-11, SU",Public School,,no,no,no,no,no,no,no,250 545-1736,250 558-3474,rgrace@sd22.bc.ca                                                                                   ,40,September 30 2018,0,0,0,2,0,0,0,0,0,0,0,0,5,8,24,1,0
092,09292009,Alvin A McKay Elementary,311 Church St,Greenville                    ,BC             ,V0J 1X0,Mr,James,Blake,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 621-3277,250 621-3220,jblake@nisgaa.bc.ca                                                                                 ,67,September 30 2018,0,11,0,0,0,7,8,8,9,5,10,9,0,0,0,0,0
060,06060025,Alwin Holland Elementary,10615 96 St,Fort St John                  ,BC             ,V1J 3R3,Ms,Jerelyn,Orcutt,Standard School                         ,K-6,Public School,,yes,no,no,no,no,no,no,250 785-6125,250 785-6123,jorcutt@prn.bc.ca                                                                                   ,358,September 30 2018,0,57,0,0,0,40,54,46,52,56,53,0,0,0,0,0,0
005,00502023,Amy Woodland Elementary,911 6th St S,Cranbrook                     ,BC             ,V1C 1L6,Mr,Aaron,Thorn,Standard School                         ,K-6,Public School,,no,yes,no,no,no,no,no,250 426-7258,250 426-1815,aaron.thorn@sd5.bc.ca                                                                               ,271,September 30 2018,0,36,0,0,0,28,42,36,41,45,43,0,0,0,0,0,0
005,00525017,Amy Woodland StrongStart Centre,911 6th St S,Cranbrook                     ,BC             ,V1C 1L6,Mr,Aaron,Thorn,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 426-7258,250 426-1815,aaron.thorn@sd5.bc.ca                                                                               ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,02727054,Anahim Lake Elem-Jr Secondary,PO Box 3350 General Delivery,Anahim Lake                   ,BC             ,V0L 1C0,Mr,Mikel,Brogan,Standard School                         ,K-10,Public School,,no,no,no,no,no,no,no,250 742-3235,250 742-3459,mikel.brogan@sd27.bc.ca                                                                             ,42,September 30 2018,0,3,0,0,0,4,3,8,2,4,5,4,3,5,1,0,0
