District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,full_addr,full_addr_parsed,lat,lng,SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,BOARDOFFICE_PHYSICAL_ADDRESS,DISTRICT_CITY,DISTRICT_PROVINCE,DISTRICT_POSTAL_CODE,DISTRICT_PHONE_NUMBER,DISTRICT_WEBSITE,X,Y
82,8280004,Kildala Elementary,803 Columbia Ave E,Kitimat                       ,BC             ,V8C 1V7,Mrs,Janelle,Hittel,Standard School                         ,K-6,Public School,,no,yes,no,no,yes,yes,no,250 632-6194,888 522-6751,janelle.hittel@cmsd.bc.ca                                                                           ,225,September 30 2018,0,41,0,0,0,32,26,28,40,34,24,0,0,0,0,0,0,803 Columbia Ave E Kitimat BC V8C 1V7,803+Columbia+Ave+E+Kitimat+BC+V8C+1V7,54.050362,-128.6599094,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8225184,Kildala StrongStart Centre,803 Columbia Ave E,Kitimat                       ,BC             ,V8C 1V7,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 632-9194,888 522-6751,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803 Columbia Ave E Kitimat BC V8C 1V7,803+Columbia+Ave+E+Kitimat+BC+V8C+1V7,54.050362,-128.6599094,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8297051,Kispiox Community School,1439 Mary Blackwater Dr,Kispiox                       ,BC             ,V0J 1Y4,Mr,Brian,Muldon,Standard School                         ,K-7,Independent School,2.0,no,no,no,no,no,no,no,250 842-6148,250 842-5799,bmuldon@kispioxschool.ca                                                                            ,133,September 30 2018,0,16,0,0,0,23,13,12,21,18,14,16,0,0,0,0,0,1439 Mary Blackwater Dr Kispiox BC V0J 1Y4,1439+Mary+Blackwater+Dr+Kispiox+BC+V0J+1Y4,55.3559797,-127.6867467,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8280007,Kitimat City High,1426 Cormorant St,Kitimat                       ,BC             ,V8C 1R8,Ms,Nancy,Tormene,Alternate Programs                      ,9-12,Public School,,no,no,no,no,no,no,no,250 632-2811,888 520-6903,kch@cmsd.bc.ca                                                                                      ,60,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,19,25,1426 Cormorant St Kitimat BC V8C 1R8,1426+Cormorant+St+Kitimat+BC+V8C+1R8,54.0566371,-128.6439892,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288030,Kitwanga Elementary,PO Box 88,Kitwanga                      ,BC             ,V0J 2A0,Ms,Jaclyn,Wells,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,250 849-5484,888 464-7026,kwe@cmsd.bc.ca                                                                                      ,82,September 30 2018,0,10,12,0,0,11,6,12,7,19,10,7,0,0,0,0,0,PO Box 88 Kitwanga BC V0J 2A0,PO+Box+88+Kitwanga+BC+V0J+2A0,55.1174001,-127.9440956,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288018,Majagaleehl Gali Aks Elementary,PO Box 240,Hazelton                      ,BC             ,V0J 1Y0,Mr,Mark,Newbery,Standard School                         ,K-7,Public School,,no,yes,no,no,no,yes,no,250 842-5313,888 509-8670,mark.newbery@cmsd.bc.ca                                                                             ,112,September 30 2018,0,12,3,0,0,19,11,14,15,15,14,12,0,0,0,0,0,PO Box 240 Hazelton BC V0J 1Y0,PO+Box+240+Hazelton+BC+V0J+1Y0,55.2568166,-127.6720019,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8282039,Mount Elizabeth Middle/Secondary,1491 Kingfisher Ave N,Kitimat                       ,BC             ,V8C 1E9,Ms,Christine,Byrd,Standard School                         ,7-12,Public School,,no,yes,no,no,yes,yes,no,250 632-6174,,christine_byrd@cmsd.bc.ca                                                                           ,439,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,71,81,82,60,72,73,1491 Kingfisher Ave N Kitimat BC V8C 1E9,1491+Kingfisher+Ave+N+Kitimat+BC+V8C+1E9,54.0618215,-128.6258208,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8296731,Mountain View Christian Academy,3306 Griffith St,Terrace                       ,BC             ,V8G 0C6,Mr,Jeffrey,Panag,Standard School                         ,K-10,Independent School,1.0,no,no,no,no,no,no,no,250 635-5518,250 635-5528,mvcacademy@yahoo.ca                                                                                 ,30,September 30 2018,0,2,0,0,0,3,1,4,5,5,2,2,1,3,2,0,0,3306 Griffith St Terrace BC V8G 0C6,3306+Griffith+St+Terrace+BC+V8G+0C6,54.520129,-128.645534,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8280001,Nechako Elementary,61 Nightingale St,Kitimat                       ,BC             ,V8C 1M9,Mr,David,Mills,Standard School                         ,K-6,Public School,,yes,yes,no,no,yes,yes,no,250 632-2912,888 574-1126,david.mills@cmsd.bc.ca                                                                              ,218,September 30 2018,0,22,0,0,0,33,25,31,43,30,34,0,0,0,0,0,0,61 Nightingale St Kitimat BC V8C 1M9,61+Nightingale+St+Kitimat+BC+V8C+1M9,54.0559832,-128.629279,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288008,New Hazelton Elementary,3275 Bowser Street,New Hazelton                  ,BC             ,V0J 2J0,Ms,Alison,Campbell,Standard School                         ,K-7,Public School,,yes,yes,no,no,yes,yes,no,250 842-5777,888 608-8179,alison.campbell@cmsd.bc.ca,155,September 30 2018,0,11,0,0,0,15,17,17,28,19,22,26,0,0,0,0,0,3275 Bowser Street New Hazelton BC V0J 2J0,3275+Bowser+Street+New+Hazelton+BC+V0J+2J0,55.2452055,-127.5859194,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8298009,North Coast Distance Education,3120 Highway 16 East,Terrace                       ,BC             ,V8G 3E9,Mr,Geoffery,McKay,Distributed Learning Programs           ,"10-12, GA",Public School,,yes,no,no,no,no,no,no,250 635-7944,888 546-0027,geoffery.mckay@cmsd.bc.ca                                                                           ,172,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,129,3120 Highway 16 East Terrace BC V8G 3E9,3120+Highway+16+East+Terrace+BC+V8G+3E9,54.5139653,-128.539267,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8282040,NW Regional Trades & Training Centre,3120 16 Hwy E,Terrace                       ,BC             ,V8G 4N8,Mr,Geoffery,McKay,Standard School                         ,12,Public School,,no,no,no,no,no,no,no,250 635-7944,888 546-0027,geoffery.mckay@cmsd.bc.ca                                                                           ,7,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3120 16 Hwy E Terrace BC V8G 4N8,3120+16+Hwy+E+Terrace+BC+V8G+4N8,54.5139653,-128.539267,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8299305,PACES,4924 Straume Ave,Terrace                       ,BC             ,V8G 4V8,Mr,Keith,Axelson,Alternate Programs                      ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 638-8367,888 611-1091,keith.axelson@cmsd.bc.ca                                                                            ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924 Straume Ave Terrace BC V8G 4V8,4924+Straume+Ave+Terrace+BC+V8G+4V8,54.5245206,-128.6096015,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288025,Parkside Secondary,3824 Eby St,Terrace                       ,BC             ,V8G 2Z8,Ms,Jane,Arbuckle,Alternate Programs                      ,"8-12, SU",Public School,,no,no,no,no,no,yes,no,250 635-5778,888 625-7285,prk@cmsd.bc.ca                                                                                      ,89,September 30 2018,0,0,0,3,0,0,0,0,0,0,0,0,2,14,26,35,9,3824 Eby St Terrace BC V8G 2Z8,3824+Eby+St+Terrace+BC+V8G+2Z8,54.529227,-128.596624,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8282000,SD 82 Continuing Ed School,3120 Highway 16 East,Terrace                       ,BC             ,V8G 4N8,Mr,Geoffery,McKay,Continuing Education                    ,"12, GA",Public School,,no,no,no,no,no,no,no,250 635-7944,888 546-0027,geoffery.mckay@cmsd.bc.ca                                                                           ,25,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3120 Highway 16 East Terrace BC V8G 4N8,3120+Highway+16+East+Terrace+BC+V8G+4N8,54.5139653,-128.539267,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8282038,Skeena Middle,3411 Munroe St,Terrace                       ,BC             ,V8G 3C1,Mr,Phillip,Barron,Standard School                         ,7-9,Public School,,no,yes,no,no,yes,yes,no,250 635-9136,888 655-0523,phillip.barron@cmsd.bc.ca                                                                           ,567,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,185,192,190,0,0,0,3411 Munroe St Terrace BC V8G 3C1,3411+Munroe+St+Terrace+BC+V8G+3C1,54.521508,-128.607775,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8296115,St Anthony's,1750 Nalabila Blvd,Kitimat                       ,BC             ,V8C 1E6,Mr,Christopher,Reilly,Standard School                         ,K-9,Independent School,1.0,no,no,no,no,no,no,no,250 632-6313,250 632-6317,creilly@cispg.ca                                                                                    ,192,September 30 2018,0,20,0,0,0,36,19,24,22,21,12,22,11,5,0,0,0,1750 Nalabila Blvd Kitimat BC V8C 1E6,1750+Nalabila+Blvd+Kitimat+BC+V8C+1E6,54.0541174,-128.6185129,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288016,Suwilaawks Community School,3430 Sparks St,Terrace                       ,BC             ,V8G 2V3,Ms,Pamela,Kawinsky,Standard School                         ,K-6,Public School,,yes,yes,no,no,yes,yes,yes,250 638-0306,888 628-7056,scs@cmsd.bc.ca                                                                                      ,234,September 30 2018,0,36,0,0,0,41,30,29,36,30,32,0,0,0,0,0,0,3430 Sparks St Terrace BC V8G 2V3,3430+Sparks+St+Terrace+BC+V8G+2V3,54.522397,-128.589457,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8225076,Suwilaawks StrongStart Centre,3430 Sparks St,Terrace                       ,BC             ,V8G 2V3,Mrs,Pamela,Kawinsky,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 638-0306,888 628-7056,pamela.kawinsky@cmsd.bc.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430 Sparks St Terrace BC V8G 2V3,3430+Sparks+St+Terrace+BC+V8G+2V3,54.522397,-128.589457,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288014,Thornhill Elementary,2906 Clark St,Terrace                       ,BC             ,V8G 3S1,Mr,Surinder,Dhaliwal,Standard School                         ,4-6,Public School,,yes,yes,no,no,yes,yes,yes,250 635-5082,888 662-8196,surinder.dhaliwal@cmsd.bc.ca,155,September 30 2018,0,0,0,0,0,0,0,0,48,54,53,0,0,0,0,0,0,2906 Clark St Terrace BC V8G 3S1,2906+Clark+St+Terrace+BC+V8G+3S1,54.5121528,-128.5400248,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288022,Thornhill Primary,3860 Paquette Ave,Terrace                       ,BC             ,V8G 3S8,Mrs,Darlene,Bragg-Hounsell,Standard School                         ,K-3,Public School,,yes,yes,no,no,yes,yes,yes,250 635-7066,888 741-1021,darlene.bragg-hounsell@cmsd.bc.ca,173,September 30 2018,0,53,0,0,0,36,44,40,0,0,0,0,0,0,0,0,0,3860 Paquette Ave Terrace BC V8G 3S8,3860+Paquette+Ave+Terrace+BC+V8G+3S8,54.510875,-128.5380739,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8225307,Thornhill StrongStart Centre,3860 Paquette Ave,Terrace                       ,BC             ,V8G 3S8,Mrs,Darlene,Bragg-Hounsell,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 635-7066,888 741-1021,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860 Paquette Ave Terrace BC V8G 3S8,3860+Paquette+Ave+Terrace+BC+V8G+3S8,54.510875,-128.5380739,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288012,Uplands Elementary,4110 Thomas St,Terrace                       ,BC             ,V8G 4L7,Mrs,Patricia,Mouland,Standard School                         ,K-6,Public School,,yes,yes,no,no,yes,yes,yes,250 635-2721,888 794-2880,patricia.mouland@cmsd.bc.ca,313,September 30 2018,0,50,0,0,0,36,42,38,54,43,50,0,0,0,0,0,0,4110 Thomas St Terrace BC V8G 4L7,4110+Thomas+St+Terrace+BC+V8G+4L7,54.534665,-128.60995,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8296162,Veritas Catholic,4836 Straume Ave,Terrace                       ,BC             ,V8G 4G3,Mrs,Tamara,Berg,Standard School                         ,K-9,Independent School,1.0,no,no,no,no,no,no,no,250 635-3035,250 635-7588,tberg@cispg.ca                                                                                      ,226,September 30 2018,0,25,0,0,0,26,26,25,21,20,26,26,19,12,0,0,0,4836 Straume Ave Terrace BC V8G 4G3,4836+Straume+Ave+Terrace+BC+V8G+4G3,54.524551,-128.603606,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8297485,Witset Elementary & Secondary School,205 Beaver Rd Unit 2,Smithers                      ,BC             ,V0J 2N1,Mr,Aaron,Burgess,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 847-2244,250 877-5092,maburgess@kyahwes.ca                                                                                ,93,September 30 2018,0,8,0,0,0,11,9,8,9,7,11,10,0,7,1,6,6,205 Beaver Rd Unit 2 Smithers BC V0J 2N1,205+Beaver+Rd+Unit+2+Smithers+BC+V0J+2N1,55.0215475,-127.3311968,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
27,2727012,100 Mile House Elementary,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,Ms,Maria,Telford,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 395-2258,250 395-3621,maria.telford@sd27.bc.ca                                                                            ,360,September 30 2018,0,43,0,0,0,50,39,47,55,50,47,29,0,0,0,0,0,PO Box 460 100 Mile House BC V0K 2E0,PO+Box+460+100+Mile+House+BC+V0K+2E0,51.64146479999999,-121.2962796,2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.13399999999999
27,2725035,100 Mile StrongStart Centre,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 395-2258,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PO Box 460 100 Mile House BC V0K 2E0,PO+Box+460+100+Mile+House+BC+V0K+2E0,51.64146479999999,-121.2962796,2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.13399999999999
27,2727027,150 Mile Elementary,PO Box 259,150 Mile House                ,BC             ,V0K 2G0,Mr,Grant,Gustafson,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 296-3356,250 296-3291,grant.gustafson@sd27.bc.ca,201,September 30 2018,0,27,0,0,0,34,24,34,25,30,27,0,0,0,0,0,0,PO Box 259 150 Mile House BC V0K 2G0,PO+Box+259+150+Mile+House+BC+V0K+2G0,52.104057,-121.928257,2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.13399999999999
27,2727071,Alexis Creek Elementary/Secondary,PO Box 199,Alexis Creek                  ,BC             ,V0L 1A0,Ms,Caitlin,Currie,Standard School                         ,K-10,Public School,,yes,yes,no,no,no,no,no,250 394-4346,250 394-4490,caitlin.currie@sd27.bc.ca                                                                           ,30,September 30 2018,0,2,0,0,0,0,2,1,5,1,2,3,3,8,3,0,0,PO Box 199 Alexis Creek BC V0L 1A0,PO+Box+199+Alexis+Creek+BC+V0L+1A0,52.082986,-123.277992,2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.13399999999999
27,2727054,Anahim Lake Elem-Jr Secondary,PO Box 3350 General Delivery,Anahim Lake                   ,BC             ,V0L 1C0,Mr,Mikel,Brogan,Standard School                         ,K-10,Public School,,no,no,no,no,no,no,no,250 742-3235,250 742-3459,mikel.brogan@sd27.bc.ca                                                                             ,42,September 30 2018,0,3,0,0,0,4,3,8,2,4,5,4,3,5,1,0,0,PO Box 3350 General Delivery Anahim Lake BC V0L 1C0,PO+Box+3350+General+Delivery+Anahim+Lake+BC+V0L+1C0,52.466667,-125.316667,2018/19,27,Cariboo-Chilcotin,350 Second Ave N,Williams Lake,BC,V2G1Z9,250 398-3800,http://www.sd27.bc.ca                                                                               ,-122.146,52.13399999999999
